Date,Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/01/01	Sun	03:51 AM	6.70	204	H
2017/01/01	Sun	09:07 AM	2.90	88	L
2017/01/01	Sun	02:54 PM	7.57	231	H
2017/01/01	Sun	09:44 PM	-0.28	-9	L
2017/01/02	Mon	04:30 AM	6.77	206	H
2017/01/02	Mon	09:54 AM	2.83	86	L
2017/01/02	Mon	03:37 PM	7.20	219	H
2017/01/02	Mon	10:23 PM	0.02	1	L
2017/01/03	Tue	05:11 AM	6.87	209	H
2017/01/03	Tue	10:48 AM	2.72	83	L
2017/01/03	Tue	04:28 PM	6.73	205	H
2017/01/03	Tue	11:05 PM	0.43	13	L
2017/01/04	Wed	05:55 AM	7.02	214	H
2017/01/04	Wed	11:50 AM	2.51	77	L
2017/01/04	Wed	05:29 PM	6.21	189	H
2017/01/04	Wed	11:52 PM	0.93	28	L
2017/01/05	Thu	06:42 AM	7.24	221	H
2017/01/05	Thu	12:59 PM	2.15	66	L
2017/01/05	Thu	06:43 PM	5.75	175	H
2017/01/06	Fri	12:45 AM	1.46	45	L
2017/01/06	Fri	07:33 AM	7.51	229	H
2017/01/06	Fri	02:11 PM	1.61	49	L
2017/01/06	Fri	08:07 PM	5.51	168	H
2017/01/07	Sat	01:46 AM	1.96	60	L
2017/01/07	Sat	08:27 AM	7.84	239	H
2017/01/07	Sat	03:20 PM	0.93	28	L
2017/01/07	Sat	09:31 PM	5.58	170	H
2017/01/08	Sun	02:52 AM	2.33	71	L
2017/01/08	Sun	09:22 AM	8.21	250	H
2017/01/08	Sun	04:21 PM	0.19	6	L
2017/01/08	Sun	10:46 PM	5.90	180	H
2017/01/09	Mon	03:58 AM	2.53	77	L
2017/01/09	Mon	10:16 AM	8.56	261	H
2017/01/09	Mon	05:17 PM	-0.48	-15	L
2017/01/09	Mon	11:50 PM	6.32	193	H
2017/01/10	Tue	04:59 AM	2.57	78	L
2017/01/10	Tue	11:09 AM	8.84	269	H
2017/01/10	Tue	06:08 PM	-1.00	-30	L
2017/01/11	Wed	12:45 AM	6.73	205	H
2017/01/11	Wed	05:56 AM	2.50	76	L
2017/01/11	Wed	12:00 PM	9.01	275	H
2017/01/11	Wed	06:56 PM	-1.32	-40	L
2017/01/12	Thu	01:34 AM	7.06	215	H
2017/01/12	Thu	06:50 AM	2.38	73	L
2017/01/12	Thu	12:50 PM	9.00	274	H
2017/01/12	Thu	07:42 PM	-1.42	-43	L
2017/01/13	Fri	02:20 AM	7.28	222	H
2017/01/13	Fri	07:41 AM	2.26	69	L
2017/01/13	Fri	01:38 PM	8.80	268	H
2017/01/13	Fri	08:26 PM	-1.28	-39	L
2017/01/14	Sat	03:04 AM	7.38	225	H
2017/01/14	Sat	08:31 AM	2.18	66	L
2017/01/14	Sat	02:25 PM	8.42	257	H
2017/01/14	Sat	09:08 PM	-0.94	-29	L
2017/01/15	Sun	03:46 AM	7.40	226	H
2017/01/15	Sun	09:21 AM	2.16	66	L
2017/01/15	Sun	03:13 PM	7.87	240	H
2017/01/15	Sun	09:50 PM	-0.45	-14	L
2017/01/16	Mon	04:29 AM	7.34	224	H
2017/01/16	Mon	10:12 AM	2.17	66	L
2017/01/16	Mon	04:01 PM	7.21	220	H
2017/01/16	Mon	10:31 PM	0.17	5	L
2017/01/17	Tue	05:11 AM	7.24	221	H
2017/01/17	Tue	11:06 AM	2.20	67	L
2017/01/17	Tue	04:52 PM	6.50	198	H
2017/01/17	Tue	11:13 PM	0.84	26	L
2017/01/18	Wed	05:55 AM	7.13	217	H
2017/01/18	Wed	12:05 PM	2.20	67	L
2017/01/18	Wed	05:49 PM	5.84	178	H
2017/01/18	Wed	11:56 PM	1.51	46	L
2017/01/19	Thu	06:40 AM	7.04	215	H
2017/01/19	Thu	01:09 PM	2.12	65	L
2017/01/19	Thu	06:56 PM	5.31	162	H
2017/01/20	Fri	12:44 AM	2.14	65	L
2017/01/20	Fri	07:27 AM	6.99	213	H
2017/01/20	Fri	02:16 PM	1.91	58	L
2017/01/20	Fri	08:13 PM	5.02	153	H
2017/01/21	Sat	01:40 AM	2.66	81	L
2017/01/21	Sat	08:17 AM	7.01	214	H
2017/01/21	Sat	03:20 PM	1.58	48	L
2017/01/21	Sat	09:33 PM	5.02	153	H
2017/01/22	Sun	02:41 AM	3.01	92	L
2017/01/22	Sun	09:07 AM	7.10	216	H
2017/01/22	Sun	04:15 PM	1.18	36	L
2017/01/22	Sun	10:43 PM	5.24	160	H
2017/01/23	Mon	03:42 AM	3.18	97	L
2017/01/23	Mon	09:56 AM	7.26	221	H
2017/01/23	Mon	05:03 PM	0.76	23	L
2017/01/23	Mon	11:38 PM	5.56	169	H
2017/01/24	Tue	04:37 AM	3.19	97	L
2017/01/24	Tue	10:42 AM	7.47	228	H
2017/01/24	Tue	05:45 PM	0.36	11	L
2017/01/25	Wed	12:22 AM	5.89	180	H
2017/01/25	Wed	05:25 AM	3.10	94	L
2017/01/25	Wed	11:25 AM	7.69	234	H
2017/01/25	Wed	06:23 PM	-0.00	0	L
2017/01/26	Thu	01:00 AM	6.20	189	H
2017/01/26	Thu	06:09 AM	2.93	89	L
2017/01/26	Thu	12:06 PM	7.88	240	H
2017/01/26	Thu	07:00 PM	-0.29	-9	L
2017/01/27	Fri	01:36 AM	6.47	197	H
2017/01/27	Fri	06:50 AM	2.73	83	L
2017/01/27	Fri	12:45 PM	8.01	244	H
2017/01/27	Fri	07:35 PM	-0.49	-15	L
2017/01/28	Sat	02:10 AM	6.70	204	H
2017/01/28	Sat	07:29 AM	2.52	77	L
2017/01/28	Sat	01:24 PM	8.04	245	H
2017/01/28	Sat	08:09 PM	-0.56	-17	L
2017/01/29	Sun	02:44 AM	6.90	210	H
2017/01/29	Sun	08:10 AM	2.31	70	L
2017/01/29	Sun	02:04 PM	7.95	242	H
2017/01/29	Sun	08:44 PM	-0.49	-15	L
2017/01/30	Mon	03:19 AM	7.08	216	H
2017/01/30	Mon	08:52 AM	2.11	64	L
2017/01/30	Mon	02:45 PM	7.71	235	H
2017/01/30	Mon	09:20 PM	-0.27	-8	L
2017/01/31	Tue	03:54 AM	7.24	221	H
2017/01/31	Tue	09:38 AM	1.92	59	L
2017/01/31	Tue	03:31 PM	7.32	223	H
