Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/01/01	Sun	03:09 AM	6.00	183	H
2017/01/01	Sun	08:37 AM	2.63	80	L
2017/01/01	Sun	02:12 PM	6.78	207	H
2017/01/01	Sun	09:14 PM	-0.25	-8	L
2017/01/02	Mon	03:48 AM	6.06	185	H
2017/01/02	Mon	09:24 AM	2.57	78	L
2017/01/02	Mon	02:55 PM	6.45	197	H
2017/01/02	Mon	09:53 PM	0.02	1	L
2017/01/03	Tue	04:29 AM	6.15	187	H
2017/01/03	Tue	10:18 AM	2.47	75	L
2017/01/03	Tue	03:46 PM	6.03	184	H
2017/01/03	Tue	10:35 PM	0.39	12	L
2017/01/04	Wed	05:13 AM	6.29	192	H
2017/01/04	Wed	11:20 AM	2.28	69	L
2017/01/04	Wed	04:47 PM	5.56	169	H
2017/01/04	Wed	11:22 PM	0.84	26	L
2017/01/05	Thu	06:00 AM	6.48	198	H
2017/01/05	Thu	12:29 PM	1.96	60	L
2017/01/05	Thu	06:01 PM	5.15	157	H
2017/01/06	Fri	12:15 AM	1.33	41	L
2017/01/06	Fri	06:51 AM	6.73	205	H
2017/01/06	Fri	01:41 PM	1.47	45	L
2017/01/06	Fri	07:25 PM	4.93	150	H
2017/01/07	Sat	01:16 AM	1.78	54	L
2017/01/07	Sat	07:45 AM	7.03	214	H
2017/01/07	Sat	02:50 PM	0.84	26	L
2017/01/07	Sat	08:49 PM	5.00	152	H
2017/01/08	Sun	02:22 AM	2.12	65	L
2017/01/08	Sun	08:40 AM	7.35	224	H
2017/01/08	Sun	03:51 PM	0.18	5	L
2017/01/08	Sun	10:04 PM	5.28	161	H
2017/01/09	Mon	03:28 AM	2.30	70	L
2017/01/09	Mon	09:34 AM	7.67	234	H
2017/01/09	Mon	04:47 PM	-0.43	-13	L
2017/01/09	Mon	11:08 PM	5.67	173	H
2017/01/10	Tue	04:29 AM	2.34	71	L
2017/01/10	Tue	10:27 AM	7.92	241	H
2017/01/10	Tue	05:38 PM	-0.91	-28	L
2017/01/11	Wed	12:03 AM	6.03	184	H
2017/01/11	Wed	05:26 AM	2.27	69	L
2017/01/11	Wed	11:18 AM	8.07	246	H
2017/01/11	Wed	06:26 PM	-1.20	-37	L
2017/01/12	Thu	12:52 AM	6.32	193	H
2017/01/12	Thu	06:20 AM	2.17	66	L
2017/01/12	Thu	12:08 PM	8.06	246	H
2017/01/12	Thu	07:12 PM	-1.29	-39	L
2017/01/13	Fri	01:38 AM	6.52	199	H
2017/01/13	Fri	07:11 AM	2.06	63	L
2017/01/13	Fri	12:56 PM	7.89	240	H
2017/01/13	Fri	07:56 PM	-1.16	-35	L
2017/01/14	Sat	02:22 AM	6.62	202	H
2017/01/14	Sat	08:01 AM	1.99	61	L
2017/01/14	Sat	01:43 PM	7.54	230	H
2017/01/14	Sat	08:38 PM	-0.86	-26	L
2017/01/15	Sun	03:04 AM	6.63	202	H
2017/01/15	Sun	08:51 AM	1.96	60	L
2017/01/15	Sun	02:31 PM	7.05	215	H
2017/01/15	Sun	09:20 PM	-0.41	-12	L
