Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/01/01	Sun	02:37 AM	7.55	230	H
2017/01/01	Sun	07:44 AM	3.63	111	L
2017/01/01	Sun	01:29 PM	8.62	263	H
2017/01/01	Sun	08:24 PM	-0.31	-9	L
2017/01/02	Mon	03:15 AM	7.67	234	H
2017/01/02	Mon	08:32 AM	3.55	108	L
2017/01/02	Mon	02:14 PM	8.18	249	H
2017/01/02	Mon	09:03 PM	0.04	1	L
2017/01/03	Tue	03:56 AM	7.82	238	H
2017/01/03	Tue	09:29 AM	3.39	103	L
2017/01/03	Tue	03:06 PM	7.62	232	H
2017/01/03	Tue	09:45 PM	0.52	16	L
2017/01/04	Wed	04:39 AM	8.03	245	H
2017/01/04	Wed	10:33 AM	3.09	94	L
2017/01/04	Wed	04:08 PM	7.00	213	H
2017/01/04	Wed	10:32 PM	1.11	34	L
2017/01/05	Thu	05:26 AM	8.32	254	H
2017/01/05	Thu	11:44 AM	2.59	79	L
2017/01/05	Thu	05:25 PM	6.46	197	H
2017/01/05	Thu	11:24 PM	1.74	53	L
2017/01/06	Fri	06:15 AM	8.68	265	H
2017/01/06	Fri	12:56 PM	1.89	58	L
2017/01/06	Fri	06:52 PM	6.21	189	H
2017/01/07	Sat	12:23 AM	2.34	71	L
2017/01/07	Sat	07:07 AM	9.09	277	H
2017/01/07	Sat	02:03 PM	1.04	32	L
2017/01/07	Sat	08:17 PM	6.32	193	H
2017/01/08	Sun	01:26 AM	2.80	85	L
2017/01/08	Sun	07:59 AM	9.53	290	H
2017/01/08	Sun	03:03 PM	0.16	5	L
2017/01/08	Sun	09:31 PM	6.71	205	H
2017/01/09	Mon	02:31 AM	3.08	94	L
2017/01/09	Mon	08:52 AM	9.93	303	H
2017/01/09	Mon	03:57 PM	-0.62	-19	L
2017/01/09	Mon	10:34 PM	7.19	219	H
2017/01/10	Tue	03:32 AM	3.17	97	L
2017/01/10	Tue	09:44 AM	10.26	313	H
2017/01/10	Tue	04:47 PM	-1.22	-37	L
